_id,numero_de_camisa_preferido,tamanho_do_sapato,quantidade_de_filhos,altura,peso,cidade_de_nascimento,renda,comida_favorita,bebida_favorita,look_que_mais_combina,videogame_favorito,tempo_de_associacao_torcedor_m,modalidade_esportiva_interesse,interesse_em_merchandising,canal_de_comunicacao_preferido
1,10,42,2,175,70,sao_paulo,2501 a 5000,churrasco,cerveja,esportivo,fifa,5,basquete,falso,email
2,7,39,0,160,55,rio_de_janeiro,0 a 1500,pizza,refrigerante,casual,pes,12,volei,falso,sms
3,23,44,3,182,85,belo_horizonte,0 a 1500,sushi,saque,elegante,call_of_duty,28,tenis,verdadeiro,whatsapp
4,11,41,1,168,65,salvador,5001 a 10000,massa,vinho,urbano,fortnite,3,tenis,verdadeiro,email
5,8,43,4,190,90,porto_alegre,1501 a 2500,hamburguer,milkshake,alternativo,minecraft,15,natação,verdadeiro,whatsapp
6,4,36,5,200,72,distrito_federal,0 a 1500,Salada,Suco,casual,fifa,21,golfe,falso,email
7,4,41,2,187,111,maranhão,2501 a 5000,Salada,Leite,vintage,fifa,10,natação,falso,email
8,20,22,3,206,88,pernambuco,1501 a 2500,Churrasco,Café,vintage,pes,25,natação,falso,whatsapp
9,12,28,3,161,84,mato_grosso,0 a 1500,Acarajé,Smoothie,casual,pes,64,basquete,falso,sms
10,16,20,3,157,69,rio_grande_do_sul,1501 a 2500,Bacalhau,Café,vintage,fortnite,57,basquete,verdadeiro,sms
11,26,39,2,164,87,distrito_federal,0 a 1500,Tacos,Chá,elegante,call_of_duty,64,natação,verdadeiro,email
12,4,31,4,210,58,santa_catarina,1501 a 2500,Lasanha,Chá,vintage,fifa,51,natação,verdadeiro,sms
13,25,39,2,196,81,minas_gerais,1501 a 2500,Salada,Leite,vintage,fortnite,48,ciclismo,verdadeiro,sms
14,12,25,3,154,94,mato_grosso_do_sul,1501 a 2500,Feijoada,Leite,alternativo,minecraft,34,tenis,falso,sms
15,13,40,2,176,41,pernambuco,0 a 1500,Lasanha,Refrigerante,alternativo,fifa,62,golfe,verdadeiro,email
16,25,40,5,193,68,acre,0 a 1500,Salada,Cerveja,vintage,pes,15,tenis,falso,email
17,6,28,4,209,62,mato_grosso_do_sul,0 a 1500,Lasanha,Leite,casual,fortnite,57,boxe,verdadeiro,sms
18,24,28,5,153,42,mato_grosso,0 a 1500,Lasanha,Cerveja,moderno,minecraft,5,ciclismo,verdadeiro,sms
19,1,41,7,158,47,paraná,0 a 1500,Sushi,Suco,moderno,pes,58,ciclismo,verdadeiro,email
20,15,42,5,205,47,santa_catarina,0 a 1500,Salada,Caipirinha,moderno,pes,35,golfe,falso,sms
21,16,32,6,195,49,paraná,0 a 1500,Salada,Água,moderno,pes,2,boxe,falso,email
22,3,28,5,175,105,acre,0 a 1500,Churrasco,Refrigerante,casual,fortnite,33,atletismo,verdadeiro,sms
23,23,22,3,211,76,mato_grosso_do_sul,1501 a 2500,Lasanha,Refrigerante,moderno,pes,16,futebol,falso,whatsapp
24,18,38,1,185,68,rondônia,0 a 1500,Hambúrguer,Caipirinha,alternativo,call_of_duty,16,volei,verdadeiro,sms
25,23,28,2,164,74,maranhão,0 a 1500,Lasanha,Água,casual,pes,11,volei,falso,whatsapp
26,19,34,5,203,78,paraíba,1501 a 2500,Bacalhau,Cerveja,alternativo,minecraft,38,basquete,verdadeiro,whatsapp
27,23,28,1,204,72,acre,2501 a 5000,Hambúrguer,Vinho,casual,fortnite,7,futebol,verdadeiro,sms
28,16,42,3,188,109,acre,1501 a 2500,Salada,Chá,casual,pes,7,atletismo,falso,email
29,5,25,3,157,120,espírito_santo,0 a 1500,Sushi,Suco,urbano,pes,60,natação,falso,email
30,8,32,2,187,106,mato_grosso_do_sul,0 a 1500,Bacalhau,Vinho,vintage,pes,37,volei,falso,whatsapp
31,23,22,5,154,75,sergipe,0 a 1500,Sushi,Caipirinha,casual,pes,47,atletismo,falso,whatsapp
32,2,31,5,171,120,maranhão,1501 a 2500,Lasanha,Leite,urbano,pes,54,natação,falso,sms
33,8,25,3,172,72,distrito_federal,0 a 1500,Tacos,Vinho,elegante,fortnite,34,atletismo,falso,sms
34,4,38,5,205,118,rio_grande_do_sul,2501 a 5000,Lasanha,Caipirinha,casual,call_of_duty,65,boxe,verdadeiro,sms
35,22,20,5,175,85,goiás,0 a 1500,Pizza,Chá,esportivo,pes,61,basquete,verdadeiro,email
36,4,25,6,183,78,piauí,0 a 1500,Acarajé,Suco,elegante,pes,60,golfe,falso,whatsapp
37,13,38,3,208,102,tocantins,1501 a 2500,Hambúrguer,Café,esportivo,call_of_duty,10,atletismo,falso,whatsapp
38,8,33,4,153,46,pará,0 a 1500,Bacalhau,Suco,elegante,pes,46,futebol,verdadeiro,sms
39,25,25,1,187,125,roraima,1501 a 2500,Bacalhau,Leite,vintage,call_of_duty,13,golfe,falso,sms
40,7,23,1,167,110,ceará,0 a 1500,Tacos,Cerveja,alternativo,fortnite,7,tenis,verdadeiro,email
41,19,26,4,188,75,pernambuco,1501 a 2500,Feijoada,Refrigerante,moderno,minecraft,40,atletismo,falso,whatsapp
42,13,41,3,166,116,paraná,0 a 1500,Pizza,Café,vintage,pes,43,boxe,falso,whatsapp
43,22,26,7,162,64,piauí,0 a 1500,Feijoada,Caipirinha,vintage,call_of_duty,13,golfe,falso,sms
44,1,29,5,163,104,santa_catarina,0 a 1500,Sushi,Vinho,esportivo,fortnite,37,volei,falso,email
45,13,38,5,177,123,rio_grande_do_norte,1501 a 2500,Salada,Refrigerante,urbano,fortnite,54,basquete,verdadeiro,email
46,13,35,1,178,124,paraíba,0 a 1500,Churrasco,Refrigerante,casual,fifa,65,ciclismo,verdadeiro,sms
47,10,23,7,203,40,pará,1501 a 2500,Churrasco,Leite,vintage,pes,32,futebol,verdadeiro,sms
48,9,39,4,183,121,goiás,1501 a 2500,Hambúrguer,Vinho,urbano,fifa,53,tenis,verdadeiro,email
49,26,34,5,208,55,mato_grosso,1501 a 2500,Acarajé,Vinho,elegante,pes,43,golfe,verdadeiro,sms
50,17,33,1,199,46,santa_catarina,1501 a 2500,Churrasco,Smoothie,urbano,pes,46,tenis,verdadeiro,sms
51,7,33,3,197,79,amapá,1501 a 2500,Feijoada,Leite,esportivo,fifa,2,golfe,falso,whatsapp
52,3,26,3,166,98,paraná,2501 a 5000,Acarajé,Chá,vintage,fortnite,63,natação,falso,email
53,16,38,6,191,54,tocantins,0 a 1500,Bacalhau,Leite,alternativo,fortnite,35,volei,verdadeiro,sms
54,5,34,7,154,91,goiás,1501 a 2500,Salada,Smoothie,casual,pes,42,volei,falso,sms
55,23,43,2,198,121,pernambuco,1501 a 2500,Churrasco,Caipirinha,elegante,fifa,47,golfe,verdadeiro,whatsapp
56,20,25,4,163,44,roraima,2501 a 5000,Salada,Cerveja,elegante,pes,37,tenis,verdadeiro,sms
57,16,36,2,177,54,goiás,0 a 1500,Tacos,Água,moderno,pes,64,ciclismo,verdadeiro,sms
