full_name,shirt_name,age,position,shirt_number,player_text,birth_date,birth_city,height,player_full_image_url
Kaique Pereira Azarias,Kaique,20 anos,Goleiro,51,"Kaique chegou ao Palmeiras em 2019 e rapidamente se consolidou como uma liderança técnica debaixo das traves. Ágil e explosivo, o goleiro acumula grandes atuações em partidas decisivas, tendo aproveitamento de destaque ao defender penalidades. Nos últimos anos, foi convocado para a Seleção Brasileira Sub-20 em diversas ocasiões, sendo campeão do Sul-Americano da categoria em 2023. No mesmo ano, participou do Mundial Sub-20 pelo Brasil.
Como parte do processo de integração com a base, Kaique treina frequentemente com o profissional desde 2020 e foi relacionado pela primeira vez para um jogo do time principal em 2021. Pela base do Verdão, já conquistou a Copa São Paulo de Futebol Júnior (2022), o Campeonato Brasileiro Sub-20 (2022), a Copa do Brasil Sub-20 (2022), o Campeonato Paulista Sub-20 (2020, 2021 e 2023) e a Copa do Brasil Sub-17 (2022).",16 de abril de 2003,São Paulo (SP),"1,90 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2024/01/kaique-perfil.png
Marcelo Lomba do Nascimento,Marcelo lomba,37 anos,Goleiro,14,"Lomba iniciou a carreira no Flamengo, onde estreou profissionalmente em 2006 e jogou com mais constância em 2010. Em 2011, transferiu-se para o Bahia, clube pelo qual atuou até 2015, quando disputou uma temporada pela Ponte Preta. Em 2016, voltou ao Bahia e encerrou seu ciclo no clube tricolor com mais de 200 partidas e os títulos estaduais de 2012 e 2014.
Ainda em 2016, foi para o Internacional e assumiu a titularidade a partir de 2018, quando foi eleito o melhor da posição no Prêmio Craque do Brasileirão. Lomba contabilizou ainda convocações para as Seleções Brasileiras de base (sobretudo Sub-15 e Sub-17), tendo sido, inclusive, campeão mundial Sub-17 em 2003.",18 de dezembro de 1986,Rio de Janeiro (RJ),"1,89 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2021/12/LOMBA-2.png
Mateus Oliveira Mendes,Mateus,21 anos,Goleiro,24,"O goleiro Mateus Oliveira é mais uma revelação da tradicional Academia de Goleiros do Palmeiras. Captado para o time Sub-15 do Verdão em 2016 após se destacar nas categorias de base do XV de Piracicaba, o paraibano de Cajazeiras recebeu no clube a alcunha de “Mateusão” – com 1,99m de altura, ele tem a estatura acima da média e a segurança sob as traves como principais virtudes.
Arqueiro titular na conquista da inédita Copa São Paulo de Futebol Júnior em 2022, Mateus treina regularmente com o elenco principal do Palmeiras desde a temporada 2019 e foi inscrito pelo clube na disputa do Mundial de Clubes de 2021. Com intuito de ganhar experiência, passou um ano emprestado ao Portimonense, de Portugal, e retornou em julho de 2023.",2 de maio de 2002,Cajazeiras (PB),"1,99 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/08/Mateus_Jogando_SITE.png
Weverton Pereira da Silva,Weverton,36 anos,Goleiro,21,"Quarto jogador com mais títulos na história do Palmeiras (11, ao lado de Gustavo Gómez, Marcos Rocha, Mayke, Waldemar Fiume e Lima), Weverton é o 7º goleiro que mais atuou e o 6º que mais venceu pelo Palmeiras em todos os tempos, o 4º que mais jogou no Estádio Palestra Italia/Allianz Parque, além de ser o atleta que mais defendeu o Verdão em Libertadores (ao lado de Marcos) e o que mais venceu pela competição continental. Além disso, Weverton igualou Emerson Leão como o goleiro com mais títulos brasileiros pelo Palmeiras (com três cada).
Mais: ostenta a terceira menor média de gols sofridos na história do clube (0,71 por jogo – 243 tentos em 341 duelos) e ocupa a primeira posição no ranking de mais partidas sem ser vazado neste século (168 jogos) – os 35 duelos sem levar gols em 2020 e em 2023, aliás, são o recorde alviverde desde 2001.
O arqueiro também é o primeiro goleiro desde Emerson Leão a fechar seis temporadas seguidas sem sofrer gols por 20 jogos ou mais: 21 em 2018, 26 em 2019, 35 em 2020, 20 em 2021, 30 em 2022 e 35 em 2023. Leão, no entanto, ainda conseguiu ampliar a marca para sete temporadas consecutivas entre 1970 e 1976.
O menino alto e forte que na infância queria ser atacante hoje é dono de uma das mais precisas reposições de bola do futebol mundial e se tornou um representante legítimo da Academia de Goleiros do Verdão. De destaque em uma Copinha pelo Juventus-AC a capitão do Atlético-PR por mais de cinco temporadas, sagrou-se campeão olímpico pela Seleção Brasileira em 2016 defendendo o pênalti decisivo na final contra a Alemanha, em um Maracanã lotado, antes de encarar a forte concorrência de Fernando Prass e Jailson no Palmeiras. Começou o ano de 2018 como terceiro goleiro e terminou como protagonista do título brasileiro, inclusive ganhando a Bola de Prata e completando nove jogos seguidos sem tomar gols durante a temporada, a segunda melhor marca da história do clube, atrás apenas de Zetti, com 12 jogos em 1987.
O ano de 2020 coroou de vez a passagem de Weverton pelo Verdão. Sempre seguro, o arqueiro mostrou novamente a sua categoria e ajudou o time a conquistar o Campeonato Paulista em cima do arquirrival Corinthians defendendo duas cobranças nos pênaltis. Depois, sendo titular em todos os jogos na Libertadores, foi um dos principais nomes do Palmeiras na campanha do bicampeonato sul-americano, gravando seu nome no Maracanã mais uma vez. E, para finalizar, o título invicto da Copa do Brasil, encerrando com chave de ouro a temporada na qual faturou quase todos os prêmios individuais possíveis, incluindo mais uma Bola de Prata.
Em 2021, mais uma temporada sendo decisivo. O camisa 21 foi um dos grandes nomes do Verdão na conquista do terceiro troféu da Libertadores, obtido após vitória por 2 a 1 sobre o Flamengo, em Montevidéu, no Uruguai. Além disso, Weverton ganhou o prêmio da CBF (Confederação Brasileira de Futebol) de melhor goleiro do Campeonato Brasileiro 2021 e entrou para a seleção da Libertadores 2021, formada pela CONMEBOL. Em 2022, Weverton foi eleito novamente o melhor goleiro do Campeonato Brasileiro, que terminou com o título do Palmeiras.",13 de dezembro de 1987,Rio Branco (AC),"1,89 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/0000_Weverton-1.png
Gustavo Raúl Gómez Portillo,Gustavo gómez,30 anos,Zagueiro,15,"Quarto atleta com mais troféus na história do clube (11, ao lado de Weverton, Marcos Rocha, Mayke, Waldemar Fiume e Lima), Gustavo Gómez é o estrangeiro com mais títulos pelo Palmeiras, o que mais atuou pelo clube (286 jogos) e ocupa a 2ª posição na lista dos maiores zagueiros artilheiros da história do Verdão, com 34 bolas na rede, atrás de Luís Pereira (36). O paraguaio também é o 2º colocado na lista de estrangeiros com mais gols pelo Palmeiras na era dos pontos corridos do Brasileirão, com 18 tentos, atrás de Arce (26). Pela Libertadores, Gómez é o jogador de linha que mais venceu na história do clube: 42 triunfos, atrás do goleiro Weverton (44).
Além disso, com o título brasileiro em 2023, Gómez se isolou como capitão com mais taças na história do Palmeiras (oito) e alcançou Ademir da Guia como capitão palmeirense com mais títulos brasileiros (ambos com três), além de se isolar como estrangeiro com mais títulos na história do Campeonato Brasileiro.
Campeão paraguaio pelo Libertad-PAR e campeão argentino pelo Lanús-ARG, Gustavo Goméz chegou ao Palmeiras no meio de 2018, de empréstimo do Milan-ITA, e caiu como uma luva no time, garantindo de cara mais um título nacional na carreira ao faturar o Brasileirão. Em um dos momentos marcantes da campanha do deca, o zagueiro fez o gol que abriu o caminho para o fim do tabu de vitórias contra o São Paulo, no Morumbi. Além disso, ao lado de Luan, contribuiu para estabelecer o recorde palmeirense de menos gols sofridos na história dos pontos corridos: apenas 26 tentos tomados no campeonato (a marca anterior era de 32, na caminhada do título de 2016).
Um ano depois, em 2019, Gómez e Luan atingiram a expressiva marca de 1081 minutos consecutivos sem sofrer gols (sem considerar os acréscimos), segunda maior de uma dupla de zagueiros na história do Palmeiras – o recorde é de Marcio e Vágner Bacharel, com 1148 minutos em 1987. Já em 2020, veio a consagração: título do Campeonato Paulista em cima do rival Corinthians em pleno Allianz Parque, bicampeonato da Libertadores como capitão e único jogador de linha presente em todas as 13 partidas do time na competição e conquista da Copa do Brasil com direito ao gol da vitória por 1 a 0 sobre o Grêmio no duelo de ida da decisão. Na campanha do tri da Libertadores, em 2021, foi novamente importante ao atuar em 12 dos 13 confrontos da equipe no torneio.
Sem nunca ter passado uma temporada em branco desde que chegou ao Verdão, ele foi um dos três palmeirenses a ter marcado em todas as competições regulares da memorável temporada de 2020 (os outros foram Raphael Veiga e Luiz Adriano). Em 2022, Gómez se tornou o zagueiro com mais gols pelo clube em uma única temporada (11 bolas na rede, ao lado de Murilo, também em 2022, e seguido por Júnior Baiano, em 1999, com dez), pela Libertadores (sete, seguido por Júnior Baiano, com cinco), pelo Brasileiro (16, seguido por Nen, com 12) e em uma única edição do Nacional de pontos corridos (nove, seguido por Daniel, que fez sete em 2005).
Como prêmios individuais, levou as Bolas de Prata de 2019 e 2020, foi eleito para a seleção ideal da Libertadores de 2020, 2021 e 2022 e ganhou o prêmio da CBF (Confederação Brasileira de Futebol) de melhor zagueiro do Campeonato Brasileiro 2021.",6 de maio de 1993,San Juan Bautista (PAR),"1,85 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/0008_Gustavo-Gomez.png
Luan Garcia Teixeira,Luan,30 anos,Zagueiro,13,"Luan está no Top 10 do ranking de maiores campeões pelo Palmeiras, ao lado de Zé Rafael, Raphael Veiga, Rony e o ex-volante Dudu (Olegário Tolói de Oliveira), todos com 10 títulos na 10ª posição. 
Prodígio no Vasco (clube onde foi capitão, disputou 172 partidas e conquistou dois títulos cariocas), Luan chegou ao Verdão ainda jovem, aos 23 anos, poucos meses depois de se sagrar campeão olímpico com a Seleção Brasileira nos Jogos do Rio 2016 no Maracanã. Após uma temporada de adaptação, o zagueiro, que figurou em todas as Seleções de base durante a carreira, recuperou o seu bom futebol em 2018 e se tornou peça importante para a conquista do Brasileirão, formando ótima dupla com Gustavo Gómez e estabelecendo o recorde palmeirense de menos gols sofridos na história dos pontos corridos: apenas 26 tentos (a marca anterior era de 32, na caminhada do título de 2016).
Em 2019, Luan e Gómez voltaram a brilhar alcançando a expressiva marca de 1081 minutos consecutivos sem sofrer gols (sem considerar os acréscimos), segunda maior de uma dupla de zagueiros na história do Palmeiras – o recorde é de Marcio e Vágner Bacharel, com 1.148 minutos em 1987. Na temporada seguinte, em 2020, mais três conquistas: o Campeonato Paulista, a Copa do Brasil e a tão sonhada Copa Libertadores, que foi vencida novamente pelo Verdão em 2021, após vitória por 2 a 1 sobre o Flamengo, em Montevidéu, no Uruguai – o defensor foi titular nas duas decisões do torneio continental.
Atualmente, Luan está entre os 16 jogadores que conseguiram conquistar o Paulista, o Brasileiro, a Copa do Brasil e a Copa Libertadores pelo Palmeiras, ao lado dos goleiros Weverton, Jailson, Marcos e Velloso, dos zagueiros Gómez, Vitor Hugo e Cleber, os laterais Marcos Rocha e Mayke, dos meio-campistas Felipe Melo, Lucas Lima, Gustavo Scarpa e Zinho e dos atacantes Dudu e Willian. Na Libertadores, Luan é o segundo jogador com mais edições disputadas pelo Palmeiras em toda a história (seis no total, ao lado de Marcos e atrás apenas de Dudu, com sete).",10 de maio de 1993,Vitória (ES),"1,89 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/LUAN-12.png
Murilo Cerqueira Paim,Murilo,26 anos,Zagueiro,26,"Revelado pelo Cruzeiro, onde chegou aos 13 anos, Murilo foi figura constante em convocações da Seleção Brasileira de base e estreou profissionalmente pelo time celeste em 2017. Integrou o elenco campeão mineiro em 2018 e 2019 e da Copa do Brasil em 2017 e 2018, somando, ao todo, 60 partidas pelo clube. Na Raposa, jogou ao lado de Rony, ainda na base, e de Mayke.
No meio da temporada de 2019, valorizado pela eficiência no jogo aéreo e pela firmeza atuando do lado esquerdo da zaga, Murilo foi vendido ao Lokomotiv Moscou, pelo qual contabilizou 71 partidas (sendo dez pela Champions League) e cinco gols, além dos títulos da Supercopa da Rússia de 2019 e da Copa da Rússia em 2021.
Logo em seu primeiro ano pelo Palmeiras, Murilo já se tornou o zagueiro com mais gols pelo clube em uma única temporada, ao lado de Gustavo Gómez (ambos marcaram 11 vezes em 2022 e superaram Júnior Baiano, que fez dez tentos em 1999). ",27 de março de 1997,São Gonçalo dos Campos (BA),"1,88 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/0007_Murilo.png
Kaiky Marques Naves,Naves,21 anos,Zagueiro,34,"No clube desde 2017, o jovem é um dos nomes da vitoriosa geração palmeirense nascida em 2002. Foram diversos títulos conquistados, como a Copa São Paulo de Futebol Júnior, o Mundial de Clubes Sub-17, a Copa do Brasil Sub-17, a Supercopa Sub-17, entre outros.
Entre janeiro de 2020 e junho de 2021, Naves ficou sem atuar tanto por conta da pandemia de COVID-19 quanto em decorrência de uma grave lesão no joelho sofrida no início da temporada passada. O atleta retornou aos gramados no Brasileiro Sub-20 de 2021, contra o Atlético-GO, e se tornou um dos principais nomes do setor defensivo do elenco.
Além de volante, o atleta pode atuar como zagueiro. Ele, inclusive, tem desempenhou a função com frequência no Sub-20 e foi campeão da Copa São Paulo de Futebol Júnior atuando na posição, ao lado de Lucas Freitas. Natural de Santos-SP, foi titular da equipe principal logo em sua primeira convocação, diante do Athletico-PR, pela 37ª rodada do Campeonato Brasileiro 2021.",8 de maio de 2002,Santos (SP),"1,82 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2023/01/Naves-4.png
Gustavo Garcia dos Santos,Garcia,22 anos,Lateral-Direito,32,"Desde 2014 no clube, fez parte do intercâmbio com o futsal, pelo qual foi campeão metropolitano e estadual Sub-14 em 2016, este último em final contra o Corinthians. Em 2017, na final do Campeonato Paulista Sub-15 contra o São Paulo, no Allianz Parque, Garcia fez um gol do meio de campo e garantiu a taça para o Verdão.
Garcia já foi campeão do mundo com a Seleção Brasileira Sub-17 (2019) e bicampeão mundial pelo Palmeiras Sub-17 (2018 e 2019), além de diversos outros títulos faturados pelo clube, como a Copa São Paulo de Futebol Júnior de 2022. Campeão paulista Sub-15, Sub-17 e Sub-20 pela base, o lateral-direito também fez parte das campanhas dos títulos do Campeonato Paulista e do Campeonato Brasileiro em 2022 pelo time profissional.",1 de janeiro de 2002,São Paulo (SP),"1,76 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2023/01/GARCIA-1.png
Marcos Luis Rocha Aquino,Marcos rocha,35 anos,Lateral-Direito,2,"Terceiro colocado em jogos e assistências entre todos os jogadores do atual elenco alviverde e terceiro maior garçom da história do Allianz Parque, Marcos Rocha também é o 6º com mais jogos (284) e 5º com mais vitórias (166, ao lado de Zé Rafael) pelo Verdão neste século. É também o quarto jogador com mais títulos na história do clube (11, ao lado de Weverton, Gustavo Gómez, Mayke, Waldemar Fiume e Lima).
Em toda a história da Libertadores, Marcos Rocha é o jogador com mais edições disputadas em sequência, ao lado do paraguaio Néstor Camacho, do Olimpia-PAR: 11 no total (2013 a 2017 pelo Atlético-MG e 2018 a 2023 pelo Palmeiras). Rocha também está entre os brasileiros que mais disputaram a competição, ao lado de Fábio (Fluminense, Cruzeiro e Vasco da Gama), Fábio Santos (Corinthians, Atlético-MG, Grêmio e São Paulo) e Réver (Atlético-MG, Flamengo, Internacional, Grêmio e Paulista de Jundiaí-SP), todos com 11. Com o título de 2021, inclusive, o atleta chegou ao seu terceiro troféu pela competição internacional, dois pelo Verdão e um pelo Atlético-MG.
Logo em seu primeiro ano no Palestra Italia, o mineiro de Sete Lagoas ajudou o Verdão a conquistar o decacampeonato brasileiro e a chegar à semifinal da Libertadores. Na temporada seguinte, fechou o Brasileirão como atleta que mais desarmou jogadas na competição.
Dono de uma técnica apurada, um cruzamento preciso e um potente arremesso lateral que muitas vezes resulta em finalização (e gol!), Rocha foi protagonista na final da Libertadores de 2020: quando o jogo já se arrastava para a prorrogação, trouxe o “fato novo” à partida ao se embolar com o técnico Cuca após saída de bola próxima ao banco do Santos e gerar a expulsão do adversário. Na sequência do lance, Breno Lopes fez o gol da Glória Eterna.",11 de dezembro de 1988,Sete Lagoas (MG),"1,76 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/0011_Marcos-Rocha.png
